,Description,Difficulty,Image,Ingredients,Method,Preparation time,Serves,Title
335,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNTNmYTU2NzMtOWU2YS00NjdjLTgyZTgtYzgyMjgwNzFjMGQwLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['4 large eggs', '100g caster sugar', '40g cocoa powder', '60g plain flour', '25g unsalted butter, melted and cooled'], 'For the Filling': ['300ml double cream', '125g dark chocolate, finely chopped']}","<div class=""recipe-text"">
<p>Start with the filling by placing the chocolate into a medium sized bowl and the cream into the pan set over medium high heat.</p>
<p>Once the cream has come to a boil pour over the chocolate and stir together until smooth. Cover the bowl with cling film and refrigerate until needed (has to be cold before can be used).</p>
<p>Preheat the oven to 180°C (160°C fan) and grease and line with parchment a 27x29 rimmed baking tray. Lightly grease the parchment and dust with a little flour, tapping out any excess.</p>
<p>Place the eggs and sugar into a large bowl and using an electric mixer whisk until the eggs are thick and pale, when the whisk is lifted from the bowl it should hold a ribbon on the surface.</p>
<p>In two additions sift in the flour and cocoa powder gently folding together to combine. Take a large spoonful of the batter and mix into the melted butter, pour this mixture back into the main bowl and fold together.</p>
<p>Pour the mixture into the prepared pan and gently level out. Bake in the preheated oven for 15 minutes or until the cake has risen and is springy to the touch. Place a slightly damp tea towel onto the work surface and place a large piece of parchment paper on top.</p>
<p>Sprinkle the parchment with a little caster sugar. When the cake has come out of the oven carefully invert it onto the parchment, peeling the parchment off the back off the cake. Whilst still warm wrap the cake into a tight roll (keeping the parchment and towel inside the roll).</p>
<p>Allow to cool fully in the roll and when ready to assemble you can finish off the filling.</p>
<p>Remove the cream mixture from the fridge and whisk until it hold soft peaks. Unwrap the cake and using a palette knife spread the cream across the cake leaving a couple cm around the outside clear.</p>
<p>Roll the cake back up, trim off the edges and place onto a serving plate. To finish dust with either icing sugar or cocoa powder and top with a few chocolate shavings.</p>
</div>",30 mins,10,Edd Kimber's Quick Yule Log
336,N/A,Hard,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtM2UyMzEwYTktYzA3Yi00OWU1LTg1NWUtOGZmNDRlYTI5ZTg0LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['4 jumbo quails spatchcocked', '200ml chicken stock', '120ml cream', '2 tablespoons sunflower/rapeseed oil'], 'For the marinade': ['2 tablespoons pomegranate molasses', '4 tablespoons honey', 'Juice of 2 lemons', '2 tablespoons grated ginger', '1 tablespoon crushed garlic', '1-2 teaspoons chilli powder', '1 teaspoon ground cinnamon']}","<div class=""recipe-text"">
<p>Combine all the ingredients for the marinade into a bowl with the quails and leave to marinate for a few hours or preferably overnight. When you are ready to cook the birds bring out from the refrigerator and allow to come to room temperature.</p>
<p>Pre heat the oven 190°C. Heat an ovenproof pan until hot. Sear the quails all over, this will take 2-3 minutes, then place into the oven and roast for 4-6 minutes. Remove from the oven and allow to rest for 5 minutes or so.</p>
<p>In the meantime, pour the remainder of the marinade into a saucepan along with the chicken stock. Bring to the boil and reduce then pour in the cream. For the rice, wash the rice in hot water twice rinsing immediately, then rinse a few times in cold water cold water to remove as much starch as possible. Allow the rice to soak in water for 20-30 minutes. Drain. Using a separate large saucepan, bring 1.5 litres of water to the boil. Once the water reaches a rolling boil add the drained rice. Pour along with some salt and a drizzle of ghee/oil to keep the grain separate. </p>
<p>Boil briskly for 2 minutes, as you only want the rice to par cook, then strain the rice through a colander. Immediately run cold water over the rice to stop the cooking process, leave to stand. </p>
<p>Put the slivered orange peel into a saucepan and cover with water, Bring to the boil and drain. Once you have drained the orange peel, use the same saucepan and put the blanched orange peel back into the pan along with the carrots, ginger, sugar and 240ml water. </p>
<p>Bring to the boil and continue to do so for approximately 8-10 minutes. Drain and set aside. You will need to keep a third for garnishing whilst the rest will be used for layering the rice. Mix together the cinnamon and allspice and set aside. Fry the onions with either oil/ghee over a medium high heat and add the garlic. </p>
<p>Fry until the onions turn golden brown. Now add the dried cherries, and the raisins and pine nuts. Cook for a minute. Remove and set aside (reserving a third for garnishing, the rest for layering). </p>
<p>Using the same pan, melt 4 tablespoons of butter and cover the base with a layer of the cooked rice. Sprinkle over a small pinch of the cinnamon and allspice mixture over the rice. Now place 2 spatulas of rice on top of the seasoned rice with some of the carrot and orange mixture, ½ teaspoon of the spice mix, and some of the fried onion mixture.</p>
<p>Repeat the layering process until you have used up all the rice, the spice mix, carrot/orange mixture and the onion mixture. </p>
<p>Mix together the orange juice with the chicken stock and orange blossom water and pour over the rice. </p>
<p>Cover the mouth of the pan with a clean kitchen cloth and close firmly with a fitted lid. Place on the hob and bring to a high heat for 5-6 minutes to allow the steam to build up in the pot. </p>
<p>Reduce the heat to very low and cook for a further 15 minutes. Remove the pot from the stove and serve the rice on a large platter. </p>
<p>Garnish with coriander/parsley, the remainder of the carrot and orange mixture, and the fried onion mixture. </p>
</div>",N/A,N/A,Marinated Spatchcock Quails on a Bed of Jewelled Rice
337,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtOTMzOTc1YzgtNGNmOS00NzUzLTg5ZDEtZmQ3NGMyZmYzMjJkLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1.5kg halibut', '500g samphire', 'Olive oil', '1kg mussels, de-bearded and cleaned', '12 langoustines, cooked', '3 lemons cut into halves and grilled', '150ml white wine', '1 tbsp white wine vinegar', '2 shallots', '1 tsp peppercorns', '1 bay leaf', '1 sprig of thyme', '100ml double cream']}","<div class=""recipe-text"">
<p>Pre-heat the oven to 180°C. Lay the samphire on a baking tray lay fish on top, brush with olive oil, season, wrap with foil, roast for 18-20 minutes, allow to rest for 10 minutes.</p>
<p>In a pan sweat of the onions in a knob of butter, add the wine, herbs and peppercorns, reduce by half, add the mussels and cook till open. Reserve cooked mussels in a bowl, strain cooking liquor into a saucepan (discard onion mix) add saffron and cream, bring to boil and reduce for 2 minutes, take off heat, whisk in butter cube by cube until smooth and emulsified.</p>
</div>",N/A,N/A,"Halibut with Saffron Beurre Blanc and Samphire, Mussels and Langoustine"
338,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMDBmOTkzOTQtNmZlNy00NmI2LWFkMTctZWRjNTk5ODcyYWFhLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['100ml water', '45g butter', '60g plain flour', '100g egg ( 2 medium eggs)', '75g gruyere or strong cheddar', 'Pinch cayenne', 'Salt']}","<div class=""recipe-text"">
<p>First put the water and butter into a small saucepan put onto the heat and bring up to simmer melting the butter.</p>
<p>Now add the flour and mix well off the heat, make sure the roux is dry before adding the egg.</p>
<p>Now add the egg bit by bit and beat well. Now add the cheese, mix well, season with cayenne and salt.</p>
<p>Put into a piping bag and pipe out the size of a small walnut onto baking paper leaving space between each one.</p>
<p>Put into a preheated oven at 180°C for 25 minutes approx. until golden brown. Remove from the oven and serve.</p>
</div>",20 mins,N/A,Rosemary Shrager's Gougères
339,N/A,N/A,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYThlNDU1YTAtMTliZi00OTZiLTljMTUtY2EyNWMzMWM2MDRjLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the broad bean and almond hummus': ['400g broad beans, peeled', '2 tablespoons almond butter', '1 clove garlic, puréed', 'Juice of half a lemon', '1 tablespoon fresh chopped mint', '60-75ml olive oil', 'Salt and white pepper'], 'For the aubergine dip': ['2 medium aubergines', '60ml tahini', '60ml lemon juice']}","<div class=""recipe-text"">
<p>For the almond butter, in an oven at 180°C, roast 300g of whole almonds for 10 minutes, allow to cool then in a food processor blitz for around 10 minutes, stopping occasionally to scrap the sides, until a creamy consistency.</p>
<p>Scoop into a container reserving around 2 tbsp in the processor. </p>
<p>The butter can be kept in an airtight container for up to 3 weeks. </p>
<p>Add all the remaining ingredients and blitz till smooth. More olive oil can be added if too thick. Season to taste.  </p>
<p>For the aubergine dip, char the aubergines over a flame on the hob, then roast the aubergines in an oven for 45-50 minutes at 170°C. Allow them to cool for about 10- 15 minutes in a ziplock bag. </p>
<p>Remove the skin and transfer the flesh into a blender. </p>
<p>Blitz with the crème fraiche, tahini, garlic, lemon juice, olive oil and cumin until smooth. Season with the salt and black pepper, then transfer to your serving dish. Chill the dip in the fridge- it tastes just as good if not better the next day.</p>
</div>",N/A,N/A,Broad Bean and Almond Hummus and Smoked Aubergine Dip
340,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZmQwNzdjYWEtYzE3OC00OTZhLWE4MGQtZjhlZmNlNDJjMzMxLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['400g white choc chips', '125g double cream', '40ml gingernut syrup', '300g gingernut biscuits ground to powder in a food processor', '500g 55-60% dark chocolate']}","<div class=""recipe-text"">
<p>For the truffles place the white chocolate, cream and gingerbread syrup into a heatproof bowl and set over a pan of barely simmering water. Stirring, bring together into a smooth glossy ganache.</p>
<p>Pour the ganache into a small roasting tray lined with baking paper. </p>
<p>Allow the ganache to cool, then pop in the fridge to set - about 4 hours. Whilst the ganache sets, grind the gingernut biscuits into a powder in a food processor then pour into a ziplock plastic bag. </p>
<p>Once the ganache has set, use a teaspoon (or grease-sprayed melon baller) to scrape out small portions of the chocolate. </p>
<p>Roll these into cherry tomato sized truffles, then pop each one into the bag of gingernut crumbs and toss to coat really well. Set the coated truffles onto a baking sheet and pop back into the fridge until needed. </p>
<p>To temper the chocolate melt the chocolate in a heatproof bowl over a pan of barely simmering water. Remove from the heat and wipe the bottom of the bowl to avoid any water coming into contact with the chocolate. </p>
<p>Pour two Thirds of the chocolate onto the clean, dry marble slab and use the palette knife and wallpaper scraper to spread it out thinly, then scrape it back into a pool, about 4 or 5 times or until it starts to thicken a little. </p>
<p>Pour this back into the melted chocolate and stir well to equalise the temperatures. </p>
<p>Dip a teaspoon into the chocolate - if it sets within a minute or so without going grey, the chocolate will be tempered. Working quickly dip each truffle into the tempered chocolate with a fork (or chocolate dipping hook if you have one) and coat well, then place onto a piece of baking paper to set. </p>
<p>To finish, brush a little edible gold lustre dust onto the top of each set truffle. </p>
</div>",N/A,N/A,White Chocolate and Ginger Nut Truffles
341,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNWFiOTdjYzItNmIxNi00MzRlLWJjNWUtYjFhZWE1NTJjNGVkLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['6kg Gammon', '2 onions', '2 carrots', '4 bay leaves', '3 star anise', '1 tbsp of black pepper corns', '1 tbsp coriander seeds', 'Few sprigs of parsley', 'Few sticks of celery'], 'For the glaze': ['Approx 150 cloves', '450g soft dark brown sugar', '300ml thick runny honey']}","<div class=""recipe-text"">
<p>Place the pork in a very large saucepan and cover with cold water.</p>
<p>Add to the cold water, 2 peeled onions, 4 sticks of celery, 3 star anise, 4 carrots, 1 tablespoon of coriander seeds and 1 tablespoon of black peppercorns and sprigs of parsley.</p>
<p>Bring up to the simmer and cook for 3 hours approximately.  I allow 20 minutes per 500g. You can tell when the ham is cooked when the rind starts coming off easily.</p>
<p>Remove the ham from the saucepan and allow to rest for one hour.</p>
<p>Remove all the rind while the ham is still warm, leaving as much fat on as possible.</p>
<p>Score the fat into diamond shapes by cutting long line one way then the other way.</p>
<p>Put a clove into each diamond corner.</p>
<p>Mix 350g brown sugar, 200ml thick honey and 1 tablespoon Dijon mustard and use a pastry brush to spread the mixture all over the ham.</p>
<p>Bake in a pre-heated oven set at 180°C /Gas mark 4 for 25 minutes approximately or until caramelized .You will need to baste the ham every ten minutes, to get a good colour.</p>
<p>Serve hot or cold with Cumberland Sauce.</p>
<p><strong>Cumberland Sauce:</strong></p>
<p>Place all the ingredients into a pan and bring to the boil.</p>
<p>Simmer for one hour approximately on a low heat until a sticky sauce is thickened and ready to go- leave the onion you do not need to strain the sauce.</p>
</div>",30 mins,20,Rosemary Shrager's Honey Roast Christmas Ham
342,N/A,Hard,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZThjZWY0MmUtYTIwMS00OTE3LWJhZGEtN2ZiZjg4MWNiZTVjLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['3 mixed peppers', '2 aubergines', '125g cherry tomatoes', '2 large red onions, finely sliced', '2 tablespoons balsamic vinegar', '2 tablespoons sugar', '100g couscous', '1 vegetable stock cube', '2 tablespoons ras el hanout spice mix', '1 large red chilli, deseeded and finely chopped', 'Small handful fresh coriander, finely chopped', ""300g goat's cheese""]}","<div class=""recipe-text"">
<p>Preheat the oven to 200°C.</p>
<p>Place the whole peppers and aubergines into a roasting dish and drizzle over a little oil then season with salt and pepper. Roast in the preheated oven for 25 minutes, then add the cherry tomatoes and roast for a further 20 minutes, or until the skins of the peppers and aubergines are slightly charred (the aubergines may need a little longer than the peppers). </p>
<p>Once roasted allow to cool completely, then peel the aubergines and peppers and pull them apart into strips of flesh. Meanwhile caramelise the onion. Heat a little oil in a frying pan over a medium heat. Add the finely sliced onion and allow to slowly cook down for about 10 minutes or until softened. Add the sugar and vinegar and cook for a further 10 minutes, stirring occasionally, until the onions are dark, sticky and sweet. Allow to cool. </p>
<p>Place the couscous into a heatproof bowl and crumble in the stock cube along with a little salt and pepper. Give it a good mix together, then pour over some hot water so that it covers the couscous by about 2cm. Cover with cling and allow to soak for a few minutes, until the couscous has swollen and the water is all absorbed. Once cool, add the strips of pepper and aubergine, the roasted tomatoes, caramelised onions, spice mix, chilli and coriander as well as a good pinch of salt and pepper. </p>
<p>Give it a good mix, then crumble in the goats cheese and mix through gently. Make sure you taste it to ensure the seasoning is just right. </p>
<p>For the pastry, place the clean table cloth onto the counter top. Line up 5 sheets of filo pastry, top to bottom, overlapping each one over the previous one by a good 2 inches. Repeat with the other 5 starting from the same point, overlapping over the previous 5 by 2 inches. </p>
<p>So you should end up with a panel of filo sheets, 2 wide, 5 deep. Paint the butter over the filo with a pastry brush. Pile the filling into a line across the pastry – make sure you pile it at the first two sheets of filo, and leave a good 2 inches either side of the filling. Using the tablecloth, roll the filling up into the pastry and tuck the excess bits of pastry under the strudel. </p>
<p>Arrange on a large baking sheet – you may need to snake the strudel around – then bake in the preheated oven for 50 – 60 minutes, or until the pastry is a deep golden brown. </p>
<p>For the salad, simply mix all of the ingredients together and serve.</p>
</div>",N/A,N/A,Moroccan Vegetable Strudel
343,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZDliNmIzMjgtMzY3ZC00MDUxLTlhZTItZjRkMGY1NGVlOWIxLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['250g\tReady made lemon curd', '125g\tCrème fraiche', '250g\tGreek yoghurt']}","<div class=""recipe-text"">
<p>Mix together the natural yoghurt and the crème fraiche.</p>
<p>Stir into the lemon curd.</p>
<p>Churn in an ice-cream machine.</p>
<p>If you don't have an ice cream machine you can mix all the ingredients together in a large mixing bowl and then pour into a freezer proof dish. Put into the freezer for 3 hours or until the ice cream is solid.</p>
<p>Remove the ice cream 10 minutes before you need it so that it's easy to scoop.</p>
</div>",5 mins,4,Rosemary Shrager's Lemon Curd Ice Cream
344,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZTg2NzQ2MmUtNTY5Ny00ZDdhLWFhZGQtNWQxMjUzMWY4NTE1LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['30 large raw prawn tails', '2 cloves garlic, peeled', '1 red chilli, seeds removed', '60ml olive oil', '10 sprigs fresh parsley', 'Crusty bread, to serve']}","<div class=""recipe-text"">
<p>For this recipe, you will need a Kenwood food processor.</p>
<p>1. Peel the prawns, leaving the end attached. Using a sharp knife, make a shallow cut along the outer curve from the tail to he head and remove the dark thread. Rinse under cold running water and dry with absorbent kitchen paper.</p>
<p>2. Place the garlic, chilli and lemon juice in the Multi-Mill and process until the garlic and chilli are finely chopped. Transfer to a shallow dish. Add the olive oil and prawns and toss together to coat.</p>
<p>3. Cover and leave to marinate in the fridge for 30 minutes, or longer if time allows. Meanwhile, place the parsley in the Multi-Mill and process to chop.</p>
<p>4. Heat a heavy-based frying pan until hot, add the prawns and marinade and cook very quickly, stirring all the time for 2-3 minutes or until the prawns turn from grey to pink. Sprinkle over the parsley immediately with crusty bread.</p>
<p><em>Recipe courtesy of Kenwood</em></p>
</div>",20 mins,4,Piquant Garlic Prawns
345,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMzIxMjc5ZjUtYTYyMy00MjdjLTljOTEtZDkxNjkyOGU1ZmYzLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the meringue': ['5 egg whites (large eggs)', '170 oz caster sugar', '½ tsp vanilla essence', '½ tsp raspberry vinegar', '½ tsp cornflour'], 'For the sandwich mixture': ['100g soft brown sugar', '50ml water', '4 egg yolks', '250g unsalted butter', '½ small tin chestnut puree (sweetened)', 'For the topping']}","<div class=""recipe-text"">
<p><strong>Method for meringue rounds:</strong></p>
<p>Grease two 9” baking tins (round), line with greaseproof paper and then grease the paper.</p>
<p>Whisk egg whites till stiff.</p>
<p>Gradually add in ½ sugar and continue whisking until it forms peaks – now add the vanilla, cornflour and raspberry vinegar towards the end of beating.</p>
<p>Spread into 2 baking tins and bake for about 2 ½ hours at 75°C. Turn off oven and leave for a further 1 hour to dry out meringue.</p>
<p>Remove from the oven and leave to cool before very carefully lifting from baking tin and peeling off the paper.</p>
<p><strong>Method for meringue sandwich mixture:</strong></p>
<p>Beat egg yolks.</p>
<p>Dissolve sugar in water and boil to 120°C and pour onto egg yolks and whisk until thick.</p>
<p>Cream butter and beat into eggs.</p>
<p>Loosen the chestnut puree  and.add to the egg mixture. On one side of the meringue spread the butter and egg mix then sandwich 2 halves of cake together. Put into the fridge for 2 hours until the butter has firmed up.</p>
<p><strong>Method for topping and round the sides to form the cake:</strong></p>
<p>Whip double cream until quite thick and add icing sugar.</p>
<p>Soften the chestnut pure with the vanilla essence fold 1/3rd of the cream into the chestnut and mix, then fold in the rest of the cream.</p>
<p>Spread on top and round the sides and decorate with ground and chopped walnuts or almonds.</p>
<p>Then dust with icing sugar. Put into the fridge until ready to eat.</p>
</div>",60 mins,12,Rosemary Shrager's Chestnut Pavlova Cake
346,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMmI0ODdmZmMtZWUzYy00Zjk5LWJiMDQtMTQ4MDJjYWM4ZmUxLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the salted caramel ice cream': ['450g caster sugar', '600ml double cream', '2 tsp Maldon salt', '250ml milk', '4 egg yolks', '1 tsp vanilla extract'], 'For the chocolate fondants': ['200g dark chocolate (70%)', '150g sugar', '150g butter', '4 eggs, beaten', '50g plain flour']}","<div class=""recipe-text"">
<p>For this recipe, you will need a Kenwood food processor.</p>
<p>To make the ice cream: Pre-freeze the frozen dessert maker bowl for 24 hours.</p>
<p>Add 200g of the caster sugar to a saucepan and heat until melted.</p>
<p>Once melted bring to the boil and continue cooking, stirring occasionally until it starts to turn golden. Add 200ml of the cream, stir well and cook until the caramelised sugar has dissolved. Add the salt and reserve.</p>
<p>In another saucepan bring the milk to just below boiling and then turn off the heat.</p>
<p>Attach the whisk, add the egg yolks and the remaining 250g of the caster sugar to the bowl. Whisk on a medium speed until pale and fl uffy. Pour in the cooled milk and continuing to whisk until combined.</p>
<p>Pour all of the mixture back into the saucepan and cook on a low heat for ten minutes, or until the mixture has thickened and coats the back of a wooden spoon.</p>
<p>Turn the heat off and add the remaining cream (400ml). Stir well and add the vanilla extract.</p>
<p>Chill in the fridge until cold.</p>
<p>Remove the frozen dessert maker bowl from the freezer, attach the plastic bowl of the dessert maker and fit the freezer bowl inside it. Add the paddle and cover.</p>
<p>With the machine running at a slow speed slowly pour the ice cream mix into the bowl through the feed chute. Mix in the frozen dessert maker for about half an hour, 20 minutes into mixing slowly add the reserved caramel mix.</p>
<p>The ice cream can be eaten immediately or kept in the freezer for later.</p>
<p>To make the chocolate fondants: Preheat the oven to 200°C, and butter 6 ramekin dishes or dariole moulds.</p>
<p>Gently melt the chocolate in a bowl set over a pan of gently simmering water, making sure the bowl does not come into contact with the water.</p>
<p>Add the sugar, butter, eggs and vanilla essence to the bowl and attach the K beater. Mix on a medium speed until pale and fluffy.</p>
<p>Pour in the melted chocolate and mix well, turn the speed to low and gently fold in the flour.</p>
<p>Pour the mixture into the moulds and cook for about 12 minutes, until they have a soft spring to them.</p>
<p>Leave to cool for 5 minutes and serve with the ice cream.</p>
<p><em>Recipe courtesy of Kenwood</em></p>
</div>",15 mins,4,Chocolate Fondants with Salted Caramel Ice Cream
347,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNjllMWY0NmItNTZlZi00ZTdiLTk2ODUtNmZhMjJjYTRlMjU2LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the cake': ['4 tbsp caramel or dulce de leche (you can buy this in a tin or make your own)', '4 large eggs', '100g caster sugar', '125g self-raising flour', '1 tsp bicarbonate of soda', '1 tsp baking powder', '10g instant espresso coffee powder or 1 shot very strong espresso', '75ml vegetable oil'], 'For the flan': ['400ml coconut milk', '397g can sweetened condensed milk']}","<div class=""recipe-text"">
<p>1. Grease a 23cm savarin mould with oil or non stick baking spray.</p>
<p>2. Spoon the caramel around the base of the mould.</p>
<p>3. Whisk the eggs and sugar together in an electric mixer until it resembles ribbons falling from the whisk. Sieve in the flour, bicarbonate of soda, baking powder and coffee over the whisked eggs and fold in. Pour the oil down the side of the bowl and fold in gently retaining as much air as possible. Spoon the mixture into a tin.</p>
<p>4. Preheat the oven to 170°C.</p>
<p>5. For the flan, whisk the coconut milk, condensed milk, eggs and vanilla paste together. Pour into a large jug. Pour the mixture gently into the cake tin. It will disappear under the cake mixture but this is normal.</p>
<p>6. Cover with foil and place in a bain marie (roasting tin with water) and bake for 50-60 minutes.  Remove from the foil and leave to cool for 1 hour.</p>
<p>7. Chill for at least 4 hours before turning out onto a large cake plate. </p>
</div>",30 mins,12,Coffee and Coconut Flan Cake
348,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNGFjYTdkN2QtMTc5Yy00ZmY1LWI3ZGMtZDAwYTBjYThjYWVhLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the Pastry': ['226g all-purpose flour', '113g lard', '2-3tbsp-ice cold water'], 'For the Filling': ['175g smooth peanut butter', '200g muscavado sugar', '1tbsp Caribbean mixed essence'], 'For the Decoration': ['2 lightly beaten egg yolks with a dash of milk to wash the cakes', '100g icing sugar', 'Christmas sugar decorations']}","<div class=""recipe-text"">
<p>Preheat the oven to 190°C/170°C fan and lightly grease a baking sheet.</p>
<p>Sift the flour into a baking sheet, add the salt and the lard and rub together until they resemble breadcrumbs. Then add the ice-cold water, a little at a time, and combine until the pastry forms a ball. With floured hands, roll the dough into a sausage. Wrap in clingfilm and chill for 30 minutes.</p>
<p>To make the filling, mix the peanut butter with the sugar and mixed essence. Remove the pastry from the fridge and cut into 12 equal parts and roll into balls. Flatten the balls into discs in the palm of your hands and fill each one with one teaspoon of the filling. Seal up the edges and pat flat, to about 1.5cm thick.</p>
<p>Brush each biscuit with the egg wash and place on the prepared baking sheet. Bake for 15 – 20 minutes until golden brown. Remove from the oven and let the biscuits cool.</p>
<p>To make the glace icing, sift the icing sugar in a bowl and gradually add water until the icing is smooth and can coat the back of a spoon. Once made spoon over the cookies and top with a seasonal sugar cake decorations.</p>
</div>",10 mins,12,Jonathan Phang's Peanut Cakes
